matchNumber,teamNumber,startPosition,preLoadedBalls,auto-bottom port,auto-Outer port,crossedLine,cellsCollected,Bottom Port,Top Port,missed,rotation,colorControl,balanced,parked,climbed,helped,defended,additionalComments
49 ,8032 ,null,false,0,0,true,0,2,0,0,0,false,true,false,true,false,false,  
50 ,7461 ,null,true,0,3,false,0,0,10,0,0,false,false,false,false,false,false,  
50 ,4089 ,null,true,0,2,true,0,0,6,0,0,false,false,true,false,false,false,  
50 ,4915 ,null,false,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
50 ,2910 ,null,true,0,6,true,3,0,26,0,0,false,true,false,true,false,false,  
50 ,7118 ,null,true,0,0,true,0,0,3,0,0,false,false,false,false,false,false,was not able to do much and destroyed by defense   
51 ,2928 ,null,true,0,3,false,0,0,4,0,0,false,false,false,false,false,false,  
51 ,4131 ,null,true,0,0,false,0,0,0,0,0,false,true,false,true,false,true,  
51 ,5588 ,null,true,0,3,true,0,0,5,0,0,false,false,true,false,false,false,  
51 ,4513 ,null,true,0,3,false,0,4,4,0,1,false,true,false,true,false,false,  
51 ,4681 ,null,true,0,0,false,0,0,0,0,0,false,true,false,true,false,false,unstable shot  
51 ,8248 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,true, played defense for entire match  
52 ,4682 ,null,false,0,1,true,0,0,0,0,0,false,false,false,false,false,false,  
52 ,2903 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,immobile for entire match  
52 ,1318 ,null,true,0,2,true,0,0,6,0,0,false,false,true,false,false,false,  
52 ,2930 ,null,true,0,0,true,0,0,11,0,0,false,false,false,false,false,false,  
52 ,492 ,null,true,0,0,false,2,0,3,0,0,false,false,false,false,false,false,  
52 ,3070 ,null,true,0,0,true,0,2,0,0,0,false,true,false,true,false,false,  
53 ,4205 ,null,true,0,0,true,0,0,1,0,0,false,false,false,false,false,false,attempted to climb  
